participant,A1,A2,A3,R1,R2,R3,C1,C2,C3,S1,S2,S3
24,4,4,4,4,4,4,3,4,4,3,4,4
23,3,1,1,1,2,1,1,2,1,1,1,4
16,4,4,2,2,3,4,2,2,2,2,3,4
21,3,3,3,1,1,2,1,3,4,1,1,5
27,4,4,4,2,3,3,2,3,2,2,2,3
18,3,2,1,4,4,3,1,4,3,1,2,4
22,3,2,1,2,3,3,2,3,3,2,2,4
26,2,1,2,1,3,1,2,3,3,1,2,2
20,3,2,2,2,4,3,2,2,4,1,3,4
19,3,4,2,4,3,2,1,4,2,1,1,3
25,2,3,1,3,2,2,1,3,3,1,1,2
