participants,type,score
0,youtube,2
1,youtube,5
2,youtube,2
3,youtube,4
4,youtube,2
5,youtube,2
6,youtube,4
7,youtube,2
8,youtube,3
9,youtube,3
10,youtube,3
11,youtube,3
12,youtube,2
13,youtube,2
14,youtube,3
15,youtube,3
16,youtube,1
17,youtube,2
18,youtube,3
19,youtube,1
20,youtube,2
21,youtube,3
22,youtube,3
23,youtube,4
24,youtube,3
25,youtube,2
26,youtube,3
27,youtube,4
28,youtube,2
29,youtube,3
30,youtube,1
31,youtube,2
32,youtube,3
