participant,group,measure,period,score
9,experimental,A,third,4
12,experimental,A,third,4.333333333
6,experimental,A,third,4
7,experimental,R,third,4.333333333
5,experimental,R,third,4.333333333
2,experimental,R,third,3
8,experimental,R,third,5
3,experimental,R,third,3.666666667
10,experimental,R,third,5
14,experimental,R,third,4.666666667
1,experimental,R,third,3.666666667
13,experimental,R,third,4.666666667
9,experimental,R,third,4
12,experimental,R,third,4.666666667
6,experimental,R,third,4
7,experimental,C,third,4.666666667
5,experimental,C,third,3.666666667
2,experimental,C,third,4
8,experimental,C,third,5
3,experimental,C,third,3.666666667
10,experimental,C,third,5
14,experimental,C,third,3.666666667
1,experimental,C,third,3.666666667
13,experimental,C,third,4.333333333
9,experimental,C,third,4
12,experimental,C,third,4.333333333
6,experimental,C,third,4.666666667
7,experimental,S,third,4.666666667
5,experimental,S,third,4
2,experimental,S,third,3.333333333
8,experimental,S,third,4.666666667
3,experimental,S,third,3.666666667
10,experimental,S,third,4.666666667
14,experimental,S,third,4.333333333
1,experimental,S,third,3.333333333
13,experimental,S,third,4.666666667
9,experimental,S,third,4
12,experimental,S,third,4.666666667
6,experimental,S,third,4.333333333
